name	rank	twitter_handle
John Daley	CEO	JohnDaley_
Paul Austin	Editor	
Peter Goss	Program Director	peter_goss
Stephen Duckett	Program Director	stephenjduckett
Jim Minifie	Program Director	JimMinifie
Andrew Norton	Program Director	andrewjnorton
Marion Terrill	Program Director	MarionTerrill
Tony Wood	Program Director	tony_r_wood
David Blowers	Fellow	
Ittima Cherastidtham	Fellow	ittimacc
Brendan Coates	Fellow	BrendanCoates
Jordana Hunter	Fellow	
Julie Sonnemann	Fellow	
Hal Swerissen	Fellow	
Danielle Wood	Fellow	danielleiwood
Hugh Batrouney	Senior Associate	
Cameron Chisholm	Senior Associate	
Carmela Chivers	Associate	
Lucille Danks	Associate	LucilleDanks
Owain Emslie	Associate	
Kate Griffiths	Associate	_kgriffiths
Greg Moran	Associate	
Hugh Parsonage	Associate	hughparsonage
Lucy Percival	Associate	
Trent Wiltshire	Associate	trent_wiltshire
