expr,time,date
"extract_LaTeX_argument(Report, ""footnote"")",1387761034,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",908990508,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",831105682,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",954473570,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",865078986,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",874560621,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",852923505,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",811447596,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",934221563,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",550184275,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",582742651,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",631728695,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",566452319,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",943434248,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",594027130,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",669092342,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",626257524,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",827757504,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",1373350946,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",863245423,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",885366832,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",909222413,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",911274630,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",869984245,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",861281753,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",749723596,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",714918142,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",886252592,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",867563389,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",1009871359,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",779576203,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",791301001,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",754822211,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",694838408,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",1077163509,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",712326218,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",626724047,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",700394511,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",751624019,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",659083948,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",811926165,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",994648999,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",890959376,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",805933959,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",1122425807,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",795983994,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",677124416,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",523080505,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",1025283761,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",774395667,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",1016687885,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",544665217,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",668784540,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",525697125,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",659144786,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",818548733,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",719522226,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",493119173,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",739203202,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",514874351,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",669335993,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",874242278,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",895439075,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",872038570,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",905592334,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",879230362,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",874912998,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",629285251,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",671090647,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",877590155,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",912778103,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",887017278,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",735980915,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",761209862,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",716727007,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",706881550,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",897682538,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",683201554,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",654904522,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",692392555,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",657850631,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",625084744,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",938409120,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",851626639,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",776001239,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",871478382,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",781994650,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",936091266,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",584225644,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",688741694,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",781581435,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",942703294,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",849709049,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",639315631,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",552382863,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",658755665,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",510520545,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",930992048,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",500305544,2018-04-12
"extract_LaTeX_argument(Report, ""footnote"")",644300402,2018-04-12
